ensemble,Δx,compressor,metric,n,mean_direct,p_value_vs_0,outlier_frac_>2sd
blobs40,0.001,bz2,r_PhI,50,0.2961557293094818,1.5561113722693442e-12,0.02
blobs40,0.001,bz2,r_PhIIa,50,-0.9874005530401968,4.774927490500797e-118,0.06
blobs40,0.001,bz2,r_PhIIb,50,-0.9860283085845318,1.816512416979177e-114,0.02
blobs40,0.001,bz2,r_Rg,50,0.9834660436151875,9.835781801117312e-109,0.04
blobs40,0.001,bz2,r_NND,50,0.9677709332175738,2.358704278765563e-90,0.08
blobs40,0.001,bz2,r_Var,50,0.968053370496106,5.039620894846365e-89,0.02
blobs40,0.001,gzip,r_PhI,50,0.40804224849829035,9.500284988256309e-14,0.02
blobs40,0.001,gzip,r_PhIIa,50,-0.9931745523771234,2.877840442780842e-128,0.08
blobs40,0.001,gzip,r_PhIIb,50,-0.991885202598054,5.504780641787607e-113,0.02
blobs40,0.001,gzip,r_Rg,50,0.9866816609617836,2.62064084407399e-109,0.04
blobs40,0.001,gzip,r_NND,50,0.9684516926426737,5.7951037609545485e-89,0.08
blobs40,0.001,gzip,r_Var,50,0.9689092605009055,7.660445757891382e-88,0.04
blobs40,0.001,lzma,r_PhI,50,0.21957209064012853,3.193149156048995e-06,0.02
blobs40,0.001,lzma,r_PhIIa,50,-0.9852671800609383,5.5443371752004366e-98,0.02
blobs40,0.001,lzma,r_PhIIb,50,-0.9668672989526716,5.692256831794305e-88,0.08
blobs40,0.001,lzma,r_Rg,50,0.9789390367862915,1.5381412415030267e-97,0.08
blobs40,0.001,lzma,r_NND,50,0.9610575798219724,2.443579536786177e-87,0.06
blobs40,0.001,lzma,r_Var,50,0.9613706445508783,1.9454240362342442e-85,0.06
blobs40,0.001,none,r_PhI,50,0.0,,0.0
blobs40,0.001,none,r_PhIIa,50,0.0,,0.0
blobs40,0.001,none,r_PhIIb,50,0.0,,0.0
blobs40,0.001,none,r_Rg,50,0.0,,0.0
blobs40,0.001,none,r_NND,50,0.0,,0.0
blobs40,0.001,none,r_Var,50,0.0,,0.0
blobs40,0.001,zstd,r_PhI,50,0.19009575627518335,6.533884228539367e-05,0.02
